"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLERDUS","198305","1.65","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198306","1.673","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198307","1.653","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198308","1.643","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198309","1.639","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198310","1.646","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198311","1.636","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198312","1.622","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198313","1.656","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198401","1.616","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198402","1.649","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198403","1.634","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198404","1.657","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198405","1.686","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198406","1.691","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198407","1.682","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198408","1.672","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198409","1.674","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198410","1.687","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198411","1.666","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198412","1.65","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198413","1.664","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198501","1.641","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198502","1.67","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198503","1.671","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198504","1.676","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198505","1.668","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198506","1.65","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198507","1.642","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198508","1.64","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198509","1.632","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198510","1.635","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
